,Name,Score,Review,Link,Addr,area,lat,lng
133,알14,5.0,1,https://place.map.kakao.com/1100276848,"
제주특별자치도 제주시 한림읍 월령안길 24
(지번) 한림읍 월령리 374-1
",hanlim,33.3765513,126.2143566
134,블루하이,0.0,2,https://place.map.kakao.com/1950137351,"
제주특별자치도 제주시 한림읍 한림로 77
(지번) 한림읍 금능리 2006-1
",hanlim,33.387263,126.232331
135,과수원피스,4.8,6,https://place.map.kakao.com/1035881278,"
제주특별자치도 제주시 한림읍 한림로 176-2
(지번) 한림읍 금능리 1282-4
",hanlim,33.3853659,126.2274654
136,쉼표,3.5,153,https://place.map.kakao.com/20465427,"
제주특별자치도 제주시 한림읍 한림로 359
(지번) 한림읍 협재리 1732
",hanlim,33.3989324,126.2421759
137,슬랩,4.8,116,https://place.map.kakao.com/555396252,"
제주특별자치도 제주시 한림읍 한림로 354 2층
(지번) 한림읍 협재리 1740-2
",hanlim,33.3947774,126.2416879
138,호텔샌드,3.9,494,https://place.map.kakao.com/1500112810,"
제주특별자치도 제주시 한림읍 한림로 339 1층
(지번) 한림읍 협재리 2445
",hanlim,33.3940557,126.2405094
139,스타벅스 제주협재점,3.4,245,https://place.map.kakao.com/1617472209,"
제주특별자치도 제주시 한림읍 한림로 337
(지번) 한림읍 협재리 2445-1
",hanlim,33.3937715,126.2404958
140,카페이면,4.8,105,https://place.map.kakao.com/168239431,"
제주특별자치도 제주시 한림읍 금능5길 13 1층
(지번) 한림읍 금능리 1544
",hanlim,33.3887811,126.2269468
141,말리가,4.5,197,https://place.map.kakao.com/1220270738,"
제주특별자치도 제주시 한림읍 협재로 124 1층
(지번) 한림읍 협재리 1071-3
",hanlim,33.3870114,126.24897
142,바다위에코끼리,4.3,45,https://place.map.kakao.com/2083166873,"
제주특별자치도 제주시 한림읍 협재1길 27-6 1층
(지번) 한림읍 협재리 1695
",hanlim,33.3976864,126.2432576
143,배롱정원,3.16,100,https://place.map.kakao.com/1938789532,"
제주특별자치도 제주시 한림읍 협재4길 19
(지번) 한림읍 협재리 2518
",hanlim,33.3930352,126.2415929
144,비마이게스트,4.2,113,https://place.map.kakao.com/587340308,"
제주특별자치도 제주시 한림읍 한림로 406 1층
(지번) 한림읍 협재리 1586
",hanlim,33.3979874,126.2456107
145,카페훤,4.3,59,https://place.map.kakao.com/1632912716,"
제주특별자치도 제주시 한림읍 협재1길 8 1,2층
(지번) 한림읍 협재리 1717
",hanlim,33.3961731,126.242583
